EC	PFAM	count
2.3.1.51	PF01734	1
3.1.1.-	PF00536	1
3.1.1.-	PF02825	1
3.1.1.-	PF02862	1
3.1.1.-	PF23464	1
3.1.1.116	PF01764	1
3.1.1.13	PF00135	3
3.1.1.13	PF00561	1
3.1.1.13	PF16058	1
3.1.1.26	PF00151	1
3.1.1.26	PF01477	1
3.1.1.3	PF01734	7
3.1.1.3	PF00151	5
3.1.1.3	PF01477	5
3.1.1.3	PF00135	3
3.1.1.3	PF00561	2
3.1.1.3	PF00657	2
3.1.1.3	PF07859	2
3.1.1.3	PF00536	1
3.1.1.3	PF01764	1
3.1.1.3	PF02089	1
3.1.1.3	PF02825	1
3.1.1.3	PF02862	1
3.1.1.3	PF04083	1
3.1.1.3	PF11815	1
3.1.1.3	PF16058	1
3.1.1.3	PF23464	1
3.1.1.32	PF00151	3
3.1.1.32	PF01477	3
3.1.1.4	PF01734	5
3.1.1.4	PF00657	2
3.1.1.5	PF00657	2
3.1.1.5	PF00151	1
3.1.1.5	PF01477	1
3.1.1.6	PF00135	3
3.1.1.6	PF16058	1
